geogname	lat	long
Bd Sérurier	48.8881869	2.3958458
Belleville	48.8728179	2.389461
Bois de Boulogne	48.8624402	2.2491727
Boissière	48.8669301	2.2902115
Bonne-Nouvelle	48.8674501	2.3496033
Boulevard Adolphe Pinard	48.8239531	2.3069609
Boulevard Arago	48.8348527	2.3422859
Boulevard Auguste Blanqui	48.8301715	2.347658
Boulevard Barbès	48.8880788	2.3496578
Boulevard Beaumarchais	48.8569464	2.3682422
Boulevard Berthier	48.890011	2.3035677
Boulevard Bessières	48.8969965	2.3208
Boulevard Bourdon	48.8508978	2.3673174
Boulevard Brune	48.8254245	2.3153562
Boulevard Carnot	48.8440191	2.4130572
Boulevard d'Algérie	48.8810909	2.4000066
Boulevard Davout	48.8558837	2.4100816
Boulevard de Beauséjour	48.8573117	2.2693139
Boulevard de Belleville	48.8695726	2.3800091
Boulevard de Bercy	48.8399373	2.3824865
Boulevard de Bonne Nouvelle	48.870164	2.3505201
Boulevard de Charonne	48.8538085	2.3963025
Boulevard de Clichy	48.883254	2.3339645
Boulevard de Courcelles	48.8801952	2.3074469
Boulevard de Denain	48.8798685	2.3547182
Boulevard de Dixmude	48.883125	2.2847634
Boulevard de Grenelle	48.8502363	2.294618
Boulevard de la Bastille	48.8494373	2.3682727
Boulevard de la Chapelle	48.8841846	2.3573474
Boulevard de la Commanderie	48.9011551	2.3861824
Boulevard de la Guyane	48.8390016	2.4136774
Boulevard de la Madeleine	48.8696753	2.3264494
Boulevard de la Somme	48.8875953	2.2919693
Boulevard de la Tour-Maubourg	48.8580658	2.3100006
Boulevard de la Villette	48.878455	2.3704594
Boulevard de l'Amiral Bruix	48.8749021	2.2789108
Boulevard de l'Hôpital	48.8380444	2.3603869
Boulevard de l'Yser	48.8852176	2.288117
Boulevard de Magenta	48.876129	2.3562327
Boulevard de Ménilmontant	48.8631363	2.3870266
Boulevard de Montmorency	48.8517262	2.2623511
Boulevard de Picpus	48.8436776	2.4015978
Boulevard de Port-Royal	48.8379532	2.3442161
Boulevard de Reims	48.8899038	2.2981469
Boulevard de Reuilly	48.8394237	2.3946514
Boulevard de Rochechouart	48.882831	2.3446497
Boulevard de Sébastopol	48.8634101	2.3509564
Boulevard de Strasbourg	48.8731078	2.356387
Boulevard de Vaugirard	48.8414497	2.3178572
Boulevard Delessert	48.8589197	2.286431
Boulevard des Batignolles	48.8822408	2.3217382
Boulevard des Capucines	48.8704817	2.3312513
Boulevard des Filles du Calvaire	48.8615892	2.3670948
Boulevard des Invalides	48.852361	2.3145779
Boulevard des Italiens	48.8714859	2.3371311
Boulevard Diderot	48.8467809	2.381749
Boulevard d'Indochine	48.8860857	2.396509
Boulevard du Fort de Vaux	48.8923738	2.3025619
